person_age,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
22.0,4,71948.0,0,35000.0,16.02,0.49,3.0,561,0,1,0,0,1,0,0,0,1,0
21.0,1,12282.0,0,1000.0,11.14,0.08,2.0,504,1,0,0,1,0,1,0,0,0,0
25.0,1,12438.0,3,5500.0,12.87,0.44,3.0,635,0,1,0,0,0,0,0,1,0,0
23.0,3,79753.0,0,35000.0,15.23,0.44,2.0,675,0,1,0,0,1,0,0,1,0,0
24.0,4,66135.0,1,35000.0,14.27,0.53,4.0,586,0,1,0,0,1,0,0,1,0,0
21.0,1,12951.0,0,2500.0,7.14,0.19,2.0,532,0,1,0,1,0,0,0,0,0,1
26.0,3,93471.0,1,35000.0,12.42,0.37,3.0,701,0,1,0,0,1,1,0,0,0,0
24.0,1,95550.0,5,35000.0,11.11,0.37,4.0,585,0,1,0,0,1,0,0,1,0,0
24.0,2,100684.0,3,35000.0,8.9,0.35,2.0,544,0,1,0,0,1,0,0,0,1,0
21.0,1,12739.0,0,1600.0,14.74,0.13,3.0,640,0,1,0,1,0,0,0,0,0,1
22.0,1,102985.0,0,35000.0,10.37,0.34,4.0,621,0,1,0,0,1,0,0,0,0,1
21.0,2,13113.0,0,4500.0,8.63,0.34,2.0,651,0,1,0,1,0,0,1,0,0,0
23.0,3,114860.0,3,35000.0,7.9,0.3,2.0,573,0,1,0,0,1,0,0,0,0,1
26.0,4,130713.0,0,35000.0,18.39,0.27,4.0,708,0,1,0,0,1,1,0,0,0,0
23.0,2,138998.0,0,35000.0,7.9,0.25,4.0,583,0,0,0,0,1,1,0,0,0,0
23.0,4,600891.0,5,30000.0,10.65,0.05,3.0,670,1,0,0,0,0,0,0,0,0,0
23.0,3,144943.0,0,35000.0,7.9,0.24,4.0,663,0,0,0,0,1,1,0,0,0,0
23.0,1,111369.0,0,35000.0,20.0,0.31,4.0,694,0,1,0,0,1,0,0,1,0,0
23.0,3,136628.0,0,35000.0,18.25,0.26,4.0,709,0,1,0,0,1,0,0,0,0,0
24.0,4,14283.0,1,1750.0,10.99,0.12,2.0,679,0,1,0,0,0,1,0,0,0,0
25.0,3,195718.0,0,35000.0,7.49,0.18,4.0,684,1,0,0,0,1,0,0,0,0,1
25.0,1,165792.0,4,34800.0,16.77,0.21,2.0,662,0,0,0,0,1,0,0,0,1,0
22.0,4,79255.0,0,34000.0,17.58,0.43,4.0,691,0,1,0,0,1,1,0,0,0,0
24.0,3,13866.0,0,1500.0,7.29,0.11,3.0,600,1,0,0,1,0,0,0,0,1,0
22.0,3,97420.0,1,33950.0,14.54,0.35,4.0,691,0,1,0,0,1,0,0,0,1,0
24.0,1,82443.0,0,33000.0,12.68,0.4,3.0,654,0,1,0,0,1,0,1,0,0,0
21.0,2,14288.0,0,4575.0,17.74,0.32,3.0,626,0,1,0,0,0,0,0,0,0,1
23.0,1,14293.0,0,1400.0,9.32,0.1,3.0,607,0,0,0,1,0,0,0,0,1,0
24.0,3,79054.0,1,32500.0,9.99,0.41,3.0,700,0,1,0,0,1,0,1,0,0,0
21.0,3,14988.0,0,4000.0,12.84,0.27,2.0,553,0,1,1,0,0,1,0,0,0,0
21.0,1,14858.0,0,2000.0,11.12,0.13,3.0,589,0,1,0,1,0,0,0,1,0,0
25.0,3,144855.0,1,32000.0,6.62,0.22,2.0,586,1,0,0,0,1,0,0,0,0,1
26.0,3,114645.0,2,31050.0,14.17,0.27,3.0,681,0,1,0,0,1,0,1,0,0,0
25.0,1,368115.0,3,24250.0,13.85,0.07,3.0,567,1,0,0,0,1,0,0,0,0,0
26.0,2,361076.0,1,7800.0,13.49,0.02,4.0,669,0,0,0,0,0,0,0,1,0,0
21.0,2,15150.0,0,2500.0,7.51,0.17,4.0,600,0,1,0,1,0,1,0,0,0,0
22.0,3,58868.0,0,30000.0,18.39,0.51,2.0,606,0,1,0,0,1,1,0,0,0,0
24.0,1,78026.0,3,30000.0,14.54,0.38,3.0,582,0,1,0,0,1,0,0,0,0,0
25.0,3,90785.0,4,30000.0,16.89,0.33,4.0,649,0,1,0,0,1,0,1,0,0,0
23.0,1,86811.0,0,30000.0,11.01,0.35,4.0,602,0,1,0,0,1,0,0,0,0,0
26.0,3,75503.0,5,30000.0,17.99,0.4,2.0,616,0,1,0,0,1,0,0,1,0,0
24.0,1,15082.0,0,2500.0,12.69,0.17,3.0,631,0,1,0,1,0,0,0,0,0,1
26.0,3,361293.0,5,20000.0,7.88,0.06,4.0,684,1,0,0,0,0,0,0,0,0,1
23.0,1,361547.0,0,24250.0,19.41,0.07,2.0,637,1,0,0,1,0,1,0,0,0,0
26.0,4,360680.0,5,10000.0,10.38,0.03,4.0,649,0,0,0,1,0,0,1,0,0,0
26.0,3,360977.0,5,25000.0,15.33,0.07,3.0,695,1,0,0,0,0,1,0,0,0,0
25.0,3,361244.0,2,18000.0,16.45,0.05,3.0,620,0,0,0,0,0,0,1,0,0,0
26.0,3,98230.0,2,30000.0,7.49,0.31,3.0,622,0,1,0,0,1,0,0,0,1,0
22.0,1,80838.0,0,30000.0,12.69,0.37,3.0,645,0,1,0,0,1,0,0,1,0,0
26.0,4,107957.0,2,30000.0,6.62,0.28,3.0,654,0,1,0,0,1,0,0,0,0,0
24.0,3,94649.0,2,30000.0,11.01,0.32,4.0,624,0,1,0,0,1,0,0,0,0,0
23.0,1,94550.0,1,30000.0,18.62,0.32,3.0,570,0,1,0,0,1,0,0,0,0,0
23.0,3,111153.0,3,30000.0,15.23,0.27,3.0,648,0,1,0,0,1,0,0,0,1,0
23.0,2,117250.0,0,30000.0,10.65,0.26,2.0,652,0,1,0,0,1,0,0,0,0,1
25.0,3,144985.0,3,30000.0,7.9,0.21,4.0,559,0,0,0,0,1,1,0,0,0,0
26.0,1,337133.0,7,10000.0,15.96,0.03,3.0,623,1,0,0,0,1,0,0,0,1,0
26.0,2,333566.0,2,20000.0,11.48,0.06,3.0,602,1,0,0,0,1,0,0,0,0,1
23.0,3,333399.0,1,35000.0,11.01,0.1,4.0,609,0,0,0,1,0,0,0,0,1,0
25.0,4,154793.0,1,30000.0,7.29,0.19,4.0,573,1,0,0,0,1,0,0,0,1,0
24.0,2,15229.0,1,1750.0,11.01,0.11,3.0,631,1,0,0,1,0,0,0,0,0,1
21.0,3,158338.0,0,30000.0,5.99,0.19,4.0,623,1,0,0,0,1,0,0,0,0,1
22.0,3,331034.0,0,12000.0,11.58,0.04,2.0,602,1,0,0,1,0,0,0,0,0,1
26.0,1,316466.0,6,10000.0,11.01,0.03,4.0,579,0,1,0,0,0,1,0,0,0,0
25.0,2,267671.0,0,25000.0,15.7,0.09,2.0,582,0,1,0,0,0,0,0,1,0,0
22.0,4,85191.0,0,29100.0,15.99,0.34,3.0,700,0,1,0,0,1,1,0,0,0,0
22.0,2,15013.0,0,1500.0,14.84,0.1,3.0,688,0,0,0,0,0,1,0,0,0,0
26.0,3,313100.0,3,28000.0,10.99,0.09,3.0,607,1,0,0,1,0,0,1,0,0,0
25.0,3,311952.0,0,20000.0,14.42,0.06,2.0,661,1,0,0,0,0,0,1,0,0,0
24.0,1,306897.0,5,9600.0,6.99,0.03,2.0,562,1,0,0,0,0,1,0,0,0,0
25.0,3,301136.0,0,25000.0,13.49,0.08,4.0,664,1,0,0,0,1,0,0,1,0,0
25.0,1,15162.0,1,3000.0,11.01,0.2,3.0,564,0,1,0,1,0,0,0,1,0,0
22.0,2,69042.0,0,28000.0,11.01,0.41,2.0,598,0,1,0,0,1,0,0,1,0,0
21.0,1,15307.0,0,3000.0,13.61,0.2,3.0,557,0,1,0,1,0,1,0,0,0,0
23.0,2,79183.0,0,28000.0,7.9,0.35,2.0,677,0,1,0,0,1,1,0,0,0,0
26.0,3,102654.0,4,28000.0,7.49,0.27,3.0,690,0,1,0,0,1,0,0,0,0,1
26.0,2,15229.0,1,6100.0,7.51,0.4,3.0,599,0,1,0,1,0,1,0,0,0,0
22.0,1,106566.0,0,28000.0,9.91,0.26,3.0,604,0,1,0,0,1,0,0,0,0,1
21.0,3,15252.0,0,4200.0,13.48,0.28,4.0,663,0,1,0,1,0,0,0,0,1,0
22.0,3,15432.0,3,4750.0,7.14,0.31,2.0,601,0,1,0,1,0,0,0,0,0,0
24.0,1,100332.0,1,28000.0,15.99,0.28,4.0,634,0,1,0,0,1,0,0,0,0,1
24.0,3,300951.0,2,18000.0,12.98,0.06,3.0,671,0,0,0,0,1,1,0,0,0,0
90.0,3,300616.0,125,4800.0,13.57,0.02,3.0,789,0,0,0,0,1,0,0,0,0,1
25.0,3,121062.0,1,28000.0,12.69,0.23,3.0,622,0,0,0,0,1,0,0,0,0,0
26.0,2,133372.0,1,28000.0,8.9,0.21,2.0,538,1,0,0,0,1,1,0,0,0,0
26.0,3,15505.0,0,2700.0,11.01,0.17,4.0,587,0,1,0,1,0,0,0,0,0,0
22.0,4,130852.0,0,28000.0,11.01,0.21,4.0,683,0,1,0,0,1,1,0,0,0,0
23.0,2,182316.0,0,28000.0,11.11,0.15,2.0,634,1,0,0,0,1,0,0,0,0,0
24.0,3,83853.0,3,27600.0,11.01,0.33,2.0,690,0,1,0,0,1,0,1,0,0,0
21.0,3,15394.0,0,3250.0,15.68,0.21,3.0,518,0,1,0,0,0,0,0,0,0,0
22.0,3,85243.0,0,27500.0,13.06,0.32,3.0,583,0,1,0,0,1,1,0,0,0,0
22.0,2,288907.0,2,25000.0,11.01,0.09,2.0,617,1,0,0,1,0,0,0,0,1,0
26.0,2,89074.0,4,27050.0,15.62,0.3,2.0,668,0,1,0,0,1,0,0,0,0,1
24.0,4,100509.0,2,27000.0,13.49,0.27,2.0,673,0,1,0,0,1,0,0,0,1,0
24.0,1,88950.0,3,27000.0,11.01,0.3,3.0,706,0,1,0,0,1,0,0,0,0,1
23.0,1,75894.0,1,26000.0,11.71,0.34,2.0,536,0,1,0,0,1,0,0,1,0,0
23.0,2,145092.0,0,25600.0,12.69,0.18,3.0,557,1,0,0,0,1,1,0,0,0,0
24.0,3,15928.0,1,1600.0,13.57,0.1,3.0,689,1,0,0,1,0,0,0,1,0,0
22.0,3,73131.0,3,25475.0,10.99,0.35,3.0,681,0,1,0,0,1,0,0,0,0,1
25.0,4,281501.0,4,20000.0,14.27,0.07,4.0,623,1,0,0,0,0,0,0,1,0,0
24.0,2,281775.0,0,20000.0,8.88,0.07,4.0,595,1,0,0,1,0,0,1,0,0,0
26.0,3,281792.0,1,21600.0,12.18,0.08,3.0,584,1,0,0,0,0,0,1,0,0,0
25.0,3,266090.0,4,11900.0,14.42,0.04,3.0,669,0,1,0,0,0,0,0,0,0,0
26.0,1,279664.0,3,25000.0,14.17,0.09,2.0,642,1,0,0,0,0,0,0,1,0,0
25.0,1,277017.0,4,35000.0,13.99,0.13,4.0,622,1,0,0,0,0,0,0,1,0,0
23.0,2,100756.0,0,25300.0,10.99,0.25,3.0,689,0,1,0,0,1,1,0,0,0,0
